,date,season,year,month,holiday,week_day,working_day,weather_sit,temprature,feel_temprature,humidity,wind_speed,casual_user,registered_user,total_user
0,2011-01-01,springer,2011,Jan,no,saturday,no,mist,14.11,18.18,80.58,10.75,331,654,985
1,2011-01-02,springer,2011,Jan,no,sunday,no,mist,14.9,17.69,69.61,16.65,131,670,801
2,2011-01-03,springer,2011,Jan,no,monday,yes,clear,8.05,9.47,43.73,16.64,120,1229,1349
3,2011-01-04,springer,2011,Jan,no,tuesday,yes,clear,8.2,10.61,59.04,10.74,108,1454,1562
4,2011-01-05,springer,2011,Jan,no,wednesday,yes,clear,9.31,11.46,43.7,12.52,82,1518,1600
5,2011-01-06,springer,2011,Jan,no,thursday ,yes,clear,8.38,11.66,51.83,6.0,88,1518,1606
6,2011-01-07,springer,2011,Jan,no,friday,yes,mist,8.06,10.44,49.87,11.3,148,1362,1510
7,2011-01-08,springer,2011,Jan,no,saturday,no,mist,6.76,8.11,53.58,17.88,68,891,959
8,2011-01-09,springer,2011,Jan,no,sunday,no,clear,5.67,5.81,43.42,24.25,54,768,822
9,2011-01-10,springer,2011,Jan,no,monday,yes,clear,6.18,7.54,48.29,14.96,41,1280,1321
10,2011-01-11,springer,2011,Jan,no,tuesday,yes,mist,6.93,9.57,68.64,8.18,43,1220,1263
11,2011-01-12,springer,2011,Jan,no,wednesday,yes,clear,7.08,8.02,59.95,20.41,25,1137,1162
12,2011-01-13,springer,2011,Jan,no,thursday ,yes,clear,6.76,7.54,47.04,20.17,38,1368,1406
13,2011-01-14,springer,2011,Jan,no,friday,yes,clear,6.6,9.42,53.78,8.48,54,1367,1421
14,2011-01-15,springer,2011,Jan,no,saturday,no,mist,9.57,12.41,49.88,10.58,222,1026,1248
15,2011-01-16,springer,2011,Jan,no,sunday,no,clear,9.5,11.71,48.38,12.63,251,953,1204
16,2011-01-17,springer,2011,Jan,yes,monday,no,mist,7.21,8.84,53.75,13.0,117,883,1000
17,2011-01-18,springer,2011,Jan,no,tuesday,yes,mist,8.88,11.62,86.17,9.83,9,674,683
18,2011-01-19,springer,2011,Jan,no,wednesday,yes,mist,11.98,14.92,74.17,13.96,78,1572,1650
19,2011-01-20,springer,2011,Jan,no,thursday ,yes,mist,10.73,12.75,53.83,13.13,83,1844,1927
20,2011-01-21,springer,2011,Jan,no,friday,yes,clear,7.28,7.89,45.71,23.67,75,1468,1543
21,2011-01-22,springer,2011,Jan,no,saturday,no,clear,2.42,3.95,40.0,11.52,93,888,981
22,2011-01-23,springer,2011,Jan,no,sunday,no,clear,3.96,4.94,43.65,16.52,150,836,986
23,2011-01-24,springer,2011,Jan,no,monday,yes,clear,3.99,5.9,49.17,10.61,86,1330,1416
24,2011-01-25,springer,2011,Jan,no,tuesday,yes,mist,9.16,11.73,61.7,8.7,186,1799,1985
25,2011-01-26,springer,2011,Jan,no,wednesday,yes,light rain,8.92,10.18,86.25,19.69,34,472,506
26,2011-01-27,springer,2011,Jan,no,thursday ,yes,clear,8.0,10.98,68.75,7.63,15,416,431
27,2011-01-28,springer,2011,Jan,no,friday,yes,mist,8.34,11.17,79.3,8.26,38,1129,1167
28,2011-01-29,springer,2011,Jan,no,saturday,no,clear,8.06,10.61,65.17,9.74,123,975,1098
29,2011-01-30,springer,2011,Jan,no,sunday,no,clear,8.88,12.52,72.22,4.96,140,956,1096
30,2011-01-31,springer,2011,Jan,no,monday,yes,mist,7.41,9.31,60.38,12.54,42,1459,1501
31,2011-02-01,springer,2011,Feb,no,tuesday,yes,mist,7.88,11.73,82.96,3.57,47,1313,1360
32,2011-02-02,springer,2011,Feb,no,wednesday,yes,mist,10.66,12.72,77.54,17.71,72,1454,1526
33,2011-02-03,springer,2011,Feb,no,thursday ,yes,clear,7.67,8.89,43.78,18.61,61,1489,1550
34,2011-02-04,springer,2011,Feb,no,friday,yes,mist,8.66,11.43,58.52,8.57,88,1620,1708
35,2011-02-05,springer,2011,Feb,no,saturday,no,mist,9.57,12.15,92.92,10.79,100,905,1005
36,2011-02-06,springer,2011,Feb,no,sunday,no,clear,11.72,14.58,56.83,9.5,354,1269,1623
37,2011-02-07,springer,2011,Feb,no,monday,yes,clear,11.14,15.18,73.83,3.04,120,1592,1712
38,2011-02-08,springer,2011,Feb,no,tuesday,yes,clear,9.05,9.91,53.79,24.25,64,1466,1530
39,2011-02-09,springer,2011,Feb,no,wednesday,yes,mist,5.53,7.21,49.48,12.65,53,1552,1605
40,2011-02-10,springer,2011,Feb,no,thursday ,yes,clear,5.92,7.48,43.74,14.87,47,1491,1538
41,2011-02-11,springer,2011,Feb,no,friday,yes,clear,7.75,10.68,50.64,7.27,149,1597,1746
42,2011-02-12,springer,2011,Feb,no,saturday,no,clear,9.12,11.65,54.42,13.63,288,1184,1472
43,2011-02-13,springer,2011,Feb,no,sunday,no,clear,12.98,16.21,45.74,17.48,397,1192,1589
44,2011-02-14,springer,2011,Feb,no,monday,yes,clear,17.02,19.92,37.58,28.0,208,1705,1913
45,2011-02-15,springer,2011,Feb,no,tuesday,yes,clear,10.91,12.71,31.43,19.52,140,1675,1815
46,2011-02-16,springer,2011,Feb,no,wednesday,yes,clear,13.05,15.81,42.35,16.87,218,1897,2115
47,2011-02-17,springer,2011,Feb,no,thursday ,yes,clear,17.87,21.43,50.5,15.42,259,2216,2475
48,2011-02-18,springer,2011,Feb,no,friday,yes,clear,21.39,25.6,51.67,17.75,579,2348,2927
49,2011-02-19,springer,2011,Feb,no,saturday,no,clear,16.37,19.57,18.79,34.0,532,1103,1635
50,2011-02-20,springer,2011,Feb,no,sunday,no,clear,11.69,13.87,40.78,14.96,639,1173,1812
51,2011-02-21,springer,2011,Feb,yes,monday,no,mist,12.44,14.2,60.5,20.63,195,912,1107
52,2011-02-22,springer,2011,Feb,no,tuesday,yes,clear,7.47,9.3,57.78,13.11,74,1376,1450
53,2011-02-23,springer,2011,Feb,no,wednesday,yes,clear,9.09,12.29,42.3,6.31,139,1778,1917
54,2011-02-24,springer,2011,Feb,no,thursday ,yes,mist,12.12,14.46,69.74,16.78,100,1707,1807
55,2011-02-25,springer,2011,Feb,no,friday,yes,mist,14.94,17.52,71.22,23.22,120,1341,1461
56,2011-02-26,springer,2011,Feb,no,saturday,no,clear,11.58,14.11,53.79,12.5,424,1545,1969
57,2011-02-27,springer,2011,Feb,no,sunday,no,clear,14.08,17.56,68.0,8.39,694,1708,2402
58,2011-02-28,springer,2011,Feb,no,monday,yes,mist,16.7,20.01,87.64,19.41,81,1365,1446
59,2011-03-01,springer,2011,Mar,no,tuesday,yes,clear,10.93,13.19,53.5,14.5,137,1714,1851
60,2011-03-02,springer,2011,Mar,no,wednesday,yes,clear,13.74,16.0,44.96,20.62,231,1903,2134
61,2011-03-03,springer,2011,Mar,no,thursday ,yes,clear,8.13,10.01,31.83,15.13,123,1562,1685
62,2011-03-04,springer,2011,Mar,no,friday,yes,mist,10.73,12.78,61.04,13.62,214,1730,1944
63,2011-03-05,springer,2011,Mar,no,saturday,no,mist,15.75,18.94,78.92,16.88,640,1437,2077
64,2011-03-06,springer,2011,Mar,no,sunday,no,mist,15.44,18.31,94.83,23.0,114,491,605
65,2011-03-07,springer,2011,Mar,no,monday,yes,clear,10.73,11.92,55.13,22.87,244,1628,1872
66,2011-03-08,springer,2011,Mar,no,tuesday,yes,clear,11.99,15.12,42.08,8.08,316,1817,2133
67,2011-03-09,springer,2011,Mar,no,wednesday,yes,mist,12.13,14.33,77.54,14.75,191,1700,1891
68,2011-03-10,springer,2011,Mar,no,thursday ,yes,light rain,15.95,19.28,62.67,17.55,46,577,623
69,2011-03-11,springer,2011,Mar,no,friday,yes,mist,12.98,15.25,64.96,15.61,247,1730,1977
70,2011-03-12,springer,2011,Mar,no,saturday,no,clear,13.5,16.29,59.46,14.79,724,1408,2132
